DNR Peat Inventory ID #,Profile Description Info,Peat Moisture Info,IRRB Report Name,Profile Described By,Desc_who,Desc_when,DNR Lab Data Available,Prox-Ulti Data Available
CARL-2004919-E+900-410,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-510,Site on mineral island,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-610,Site on mineral island,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004919-E+900-710,,,,"P. Geiselman and D. Riihiluoma on November 4, 1987",P. Geiselman and D. Riihiluoma,"November 4, 1987",N,N
CARL-2004921-100,,,,"H. Mooers and D. Riihiluoma on April 21, 1981",H. Mooers and D. Riihiluoma,"April 21, 1981",N,N
CARL-2004922-230,,,,"D. Riihiluoma and H. Mooers on June 18, 1981",D. Riihiluoma and H. Mooers,"June 18, 1981",N,N
CARL-2004922-231,,,,"D. Riihiluoma and H. Mooers on June 18, 1981",D. Riihiluoma and H. Mooers,"June 18, 1981",N,N
CARL-2004925-194,,,,"D. Riihiluoma and S. Nelson on June 16, 1981",D. Riihiluoma and S. Nelson,"June 16, 1981",N,N
CARL-2004928-644,,,,"M. Oberhelman and D. Riihiluoma on September 24, 1984",M. Oberhelman and D. Riihiluoma,"September 24, 1984",N,N
CARL-2004928-645,,,,"M. Oberhelman and D. Riihiluoma on September 24, 1984",M. Oberhelman and D. Riihiluoma,"September 24, 1984",N,N
CARL-2004930-E+400-785,,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004930-E+400-805,Upland approximately 20m to the south of this site,,,"S. Nelson and P. Geiselman on November 6, 1987",S. Nelson and P. Geiselman,"November 6, 1987",N,N
CARL-2004930-E+600-800,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004930-E+600-900,Elevation site only,,,D. Olson and E. Berglund in December 1987,D. Olson and E. Berglund,December 1987,N,N
CARL-2004936-636,,,,"D. Riihiluoma and M. Oberhelman on August 23, 1984",D. Riihiluoma and M. Oberhelman,"August 23, 1984",N,N
CARL-2004936-637,,,,"D. Riihiluoma and M. Oberhelman on August 23, 1984",D. Riihiluoma and M. Oberhelman,"August 23, 1984",N,N
CARL-2104605-309,,,,"D. Riihiluoma and L. Severson on October 21, 1982",D. Riihiluoma and L. Severson,"October 21, 1982",N,N
